Period,start,end
federal period,01/01/1781,12/31/1815
industrialization and slavery,01/01/1816,12/31/1860
civil war,01/01/1861,06/23/1865
reconstruction and progressive,06/24/1865,12/31/1913
WWI,01/01/1914,12/31/1918
boom and bust,01/01/1919,12/31/1938
WWII,01/01/1939,12/31/1945
postwar,01/01/1946,12/31/1991
present,01/01/1992,12/31/2018
